Category,Command,Method,APIURIDomain,APIURIPath,APIVersion
management,checkNameAvailability,POST,management.azure.com,/subscriptions/{subscriptionId}/providers/Microsoft.Purview/checkNameAvailability?accountName={accountName},api-version=2021-07-01
management,createAccount,PUT,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName},api-version=2021-07-01
management,defaultAccount,GET,management.azure.com,/providers/Microsoft.Purview/getDefaultAccount,api-version=2021-07-01
management,deleteAccount,DELETE,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName},api-version=2021-07-01
management,deletePrivateEndpoint,DELETE,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName}/privateEndpointConnections/{privateEndpointConnectionName},api-version=2021-07-01
management,listKeys,POST,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName}/listkeys,api-version=2021-07-01
management,listOperations,GET,management.azure.com,/providers/Microsoft.Purview/operations,api-version=2021-07-01
management,listPrivateLinkResources,GET,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName}/privateLinkResources/{groupId},api-version=2021-07-01
management,putPrivateEndpoint,PUT,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName}/privateEndpointConnections/{privateEndpointConnectionName},api-version=2021-07-01
management,readAccount,GET,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName},api-version=2021-07-01
management,readAccounts,GET,management.azure.com,/subscriptions/{subscriptionId}/providers/Microsoft.Purview/accounts,api-version=2021-07-01
management,readPrivateEndpoint,GET,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName}/privateEndpointConnections/{privateEndpointConnectionName},api-version=2021-07-01
management,readPrivateEndpoints,GET,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName}/privateEndpointConnections,api-version=2021-07-01
management,removeDefaultAccount,POST,management.azure.com,/providers/Microsoft.Purview/removeDefaultAccount,api-version=2021-07-01
management,setDefaultAccount,POST,management.azure.com,/providers/Microsoft.Purview/setDefaultAccount,api-version=2021-07-01
management,updateAccount,PATCH,management.azure.com,/subscriptions/{subscriptionId}/resourceGroups/{resourceGroupName}/providers/Microsoft.Purview/accounts/{accountName},api-version=2021-07-01
credential,delete,DELETE,.proxy.purview.azure.com,/credentials/{credentialName},api-version=2021-07-01
credential,put,PUT,.proxy.purview.azure.com,/credentials/{credentialName},api-version=2021-07-01
credential,read,GET,.proxy.purview.azure.com,/credentials/{credentialName},api-version=2021-07-01
entity,create,POST,.purview.azure.com,/catalog/atlas/v2/entity,api-version=2021-07-01
entity,createBulk,POST,.purview.azure.com,/catalog/atlas/v2/entity/bulk,api-version=2021-07-01
entity,createBulkClassification,POST,.purview.azure.com,/catalog/atlas/v2/entity/bulk/classification,api-version=2021-07-01
entity,createBulkSetClassifications,POST,.purview.azure.com,/catalog/atlas/v2/entity/bulk/setClassifications,api-version=2021-07-01
entity,createClassifications,POST,.purview.azure.com,/catalog/atlas/v2/entity/guid/{guid}/classifications,api-version=2021-07-01
entity,createUniqueAttributeClassifications,POST,.purview.azure.com,/catalog/atlas/v2/entity/uniqueAttribute/type/{typeName}/classifications,api-version=2021-07-01
entity,delete,DELETE,.purview.azure.com,/catalog/atlas/v2/entity/guid/{guid},api-version=2021-07-01
entity,deleteBulk,DELETE,.purview.azure.com,/catalog/atlas/v2/entity/bulk,api-version=2021-07-01
entity,deleteClassification,DELETE,.purview.azure.com,/catalog/atlas/v2/entity/guid/{guid}/classification/{classificationName},api-version=2021-07-01
entity,deleteUniqueAttribute,DELETE,.purview.azure.com,/catalog/atlas/v2/entity/uniqueAttribute/type/{typeName},api-version=2021-07-01
entity,deleteUniqueAttributeClassification,DELETE,.purview.azure.com,/catalog/atlas/v2/entity/uniqueAttribute/type/{typeName}/classification/{classificationName},api-version=2021-07-01
entity,put,PUT,.purview.azure.com,/catalog/atlas/v2/entity/guid/{guid},api-version=2021-07-01
entity,putClassifications,PUT,.purview.azure.com,/catalog/atlas/v2/entity/guid/{guid}/classifications,api-version=2021-07-01
entity,putUniqueAttribute,PUT,.purview.azure.com,/catalog/atlas/v2/entity/uniqueAttribute/type/{typeName},api-version=2021-07-01
entity,putUniqueAttributeClassifications,PUT,.purview.azure.com,/catalog/atlas/v2/entity/uniqueAttribute/type/{typeName}/classifications,api-version=2021-07-01
entity,read,GET,.purview.azure.com,/catalog/atlas/v2/entity/guid/{guid},api-version=2021-07-01
entity,readBulk,GET,.purview.azure.com,/catalog/atlas/v2/entity/bulk,api-version=2021-07-01
entity,readBulkUniqueAttribute,GET,.purview.azure.com,/catalog/atlas/v2/entity/bulk/uniqueAttribute/type/{typeName},api-version=2021-07-01
entity,readClassification,GET,.purview.azure.com,/catalog/atlas/v2/entity/guid/{guid}/classification/{classificationName},api-version=2021-07-01
entity,readClassifications,GET,.purview.azure.com,/catalog/atlas/v2/entity/guid/{guid}/classifications,api-version=2021-07-01
entity,readHeader,GET,.purview.azure.com,/catalog/atlas/v2/entity/guid/{guid}/header,api-version=2021-07-01
entity,readUniqueAttribute,GET,.purview.azure.com,/catalog/atlas/v2/entity/uniqueAttribute/type/{typeName}?qualifiedName={qualifiedName},api-version=2021-07-01
search,search,POST,.purview.azure.com,/catalog/atlas/v2/search/query?keywords={keywords}&limit={limit}&offset={offset}&filterJSON={filterJSON}&facetsJSON={facetsJSON},api-version=2021-07-01
search,searchAdvanced,POST,.purview.azure.com,/catalog/api/search/advanced?keywords={keywords},api-version=2021-07-01
search,searchSuggest,POST,.purview.azure.com,/catalog/api/search/suggest?keywords={keywords},api-version=2021-07-01
search,searchAutocomplete,GET,.purview.azure.com,/catalog/api/search/autocomplete?keyword={keyword},api-version=2021-07-01
glossary,create,POST,.purview.azure.com,/catalog/api/atlas/v2/glossary,api-version=2021-07-01
glossary,createCategories,POST,.purview.azure.com,/catalog/api/atlas/v2/glossary/categories,api-version=2021-07-01
glossary,createCategory,POST,.purview.azure.com,/catalog/api/atlas/v2/glossary/category,api-version=2021-07-01
glossary,createTerm,POST,.purview.azure.com,/catalog/api/atlas/v2/glossary/term,api-version=2021-07-01
glossary,createTerms,POST,.purview.azure.com,/catalog/api/atlas/v2/glossary/terms,api-version=2021-07-01
glossary,createTermsAssignedEntities,POST,.purview.azure.com,/catalog/api/atlas/v2/glossary/terms/{termGuid}/assignedEntities,api-version=2021-07-01
glossary,createTermsExport,POST,.purview.azure.com,/catalog/api/atlas/v2/glossary/{glossaryGuid}/terms/export?termGuid={termGuid},api-version=2021-07-01
glossary,createTermsImport,POST,.purview.azure.com,/catalog/api/atlas/v2/glossary/{glossaryGuid}/terms/import,api-version=2021-07-01
glossary,delete,DELETE,.purview.azure.com,/catalog/api/atlas/v2/glossary/{glossaryGuid},api-version=2021-07-01
glossary,deleteCategory,DELETE,.purview.azure.com,/catalog/api/atlas/v2/glossary/category/{categoryGuid},api-version=2021-07-01
glossary,deleteTerm,DELETE,.purview.azure.com,/catalog/api/atlas/v2/glossary/term/{termGuid},api-version=2021-07-01
glossary,deleteTermsAssignedEntities,DELETE,.purview.azure.com,/catalog/api/atlas/v2/glossary/terms/{termGuid}/assignedEntities,api-version=2021-07-01
glossary,update,PUT,.purview.azure.com,/catalog/api/atlas/v2/glossary/{glossaryGuid},api-version=2021-07-01
glossary,putCategory,PUT,.purview.azure.com,/catalog/api/atlas/v2/glossary/category/{categoryGuid},api-version=2021-07-01
glossary,putCategoryPartial,PUT,.purview.azure.com,/catalog/api/atlas/v2/glossary/category/{categoryGuid}/partial,api-version=2021-07-01
glossary,putPartial,PUT,.purview.azure.com,/catalog/api/atlas/v2/glossary/{glossaryGuid}/partial,api-version=2021-07-01
glossary,putTerm,PUT,.purview.azure.com,/catalog/api/atlas/v2/glossary/term/{termGuid},api-version=2021-07-01
glossary,putTermPartial,PUT,.purview.azure.com,/catalog/api/atlas/v2/glossary/term/{termGuid}/partial,api-version=2021-07-01
glossary,putTermsAssignedEntities,PUT,.purview.azure.com,/catalog/api/atlas/v2/glossary/terms/{termGuid}/assignedEntities,api-version=2021-07-01
glossary,readAll,GET,.purview.azure.com,/catalog/api/atlas/v2/glossary,api-version=2021-07-01
glossary,readOneGlossary,GET,.purview.azure.com,/catalog/api/atlas/v2/glossary/{glossaryGuid},api-version=2021-07-01
glossary,readDetailed,GET,.purview.azure.com,/catalog/api/atlas/v2/glossary/{glossaryGuid}/detailed,api-version=2021-07-01
glossary,readCategories,GET,.purview.azure.com,/catalog/api/atlas/v2/glossary/{glossaryGuid}/categories,api-version=2021-07-01
glossary,readCategoriesHeaders,GET,.purview.azure.com,/catalog/api/atlas/v2/glossary/{glossaryGuid}/categories/headers,api-version=2021-07-01
glossary,readCategory,GET,.purview.azure.com,/catalog/api/atlas/v2/glossary/category/{categoryGuid},api-version=2021-07-01
glossary,readCategoryRelated,GET,.purview.azure.com,/catalog/api/atlas/v2/glossary/category/{categoryGuid}/related,api-version=2021-07-01
glossary,readCategoryTerms,GET,.purview.azure.com,/catalog/api/atlas/v2/glossary/category/{categoryGuid}/terms,api-version=2021-07-01
glossary,readTerm,GET,.purview.azure.com,/catalog/api/atlas/v2/glossary/term/{termGuid},api-version=2021-07-01
glossary,readTerms,GET,.purview.azure.com,/catalog/api/atlas/v2/glossary/{glossaryGuid}/terms,api-version=2021-07-01
glossary,readTermsAssignedEntities,GET,.purview.azure.com,/catalog/api/atlas/v2/glossary/terms/{termGuid}/assignedEntities,api-version=2021-07-01
glossary,readTermsHeaders,GET,.purview.azure.com,/catalog/api/atlas/v2/glossary/{glossaryGuid}/terms/headers,api-version=2021-07-01
glossary,readTermsImport,GET,.purview.azure.com,/catalog/api/atlas/v2/glossary/terms/import/{operationGuid},api-version=2021-07-01
glossary,readTermsRelated,GET,.purview.azure.com,/catalog/api/atlas/v2/glossary/terms/{termGuid}/related,api-version=2021-07-01
insight,fileExtensions,POST,.guardian.purview.azure.com,/reports/fileExtensions,api-version=2021-07-01
